PLAYER	POS	BODY FAT %	HAND LENGTH (inches)	HAND WIDTH (inches)	HEIGHT W/O SHOES	HEIGHT W/ SHOES	STANDING REACH	WEIGHT (LBS)	WINGSPAN
Jaylin Williams	C	8.00%	8.50	10.50	6' 8.75''	6' 10.00''	9' 0.50''	236.6	7' 1.00''
Julian Strawther	SF	7.90%	8.25	8.50	6' 5.75''	6' 7.00''	8' 8.50''	207.6	6' 9.50''
JD Davison	PG	7.80%	8.50	9.50	6' 0.50''	6' 2.50''	8' 3.50''	191.8	6' 6.50''
Johnny Juzang	SG	7.50%	8.50	9.50	6' 5.25''	6' 6.50''	8' 6.50''	208.6	6' 11.00''
Wendell Moore	SG	7.50%	8.75	10.25	6' 4.25''	6' 5.50''	8' 5.00''	217.2	7' 0.50''
Nikola Jovic	SF	7.40%	8.75	9.75	6' 9.50''	6' 11.00''	9' 0.50''	222.6	7' 0.25''
Jean Montero	PG	7.40%	8.00	8.75	6' 1.00''	6' 2.25''	8' 2.50''	171.8	6' 5.25''
Justin Lewis	PF	7.30%	9.00	10.50	6' 6.25''	6' 7.50''	8' 9.50''	235.4	7' 2.50''
Alondes Williams	SG	7.20%	8.50	9.25	6' 3.75''	6' 5.00''	8' 6.00''	209.0	6' 7.00''
Julian Champagnie	SF	7.10%	8.75	9.25	6' 6.25''	6' 7.75''	8' 11.00''	212.4	6' 10.00''
Johnny Davis	PG	6.70%	8.50	10.25	6' 4.25''	6' 5.75''	8' 7.50''	196.4	6' 8.50''
Christian Braun	SG	6.20%	8.00	8.50	6' 5.50''	6' 7.00''	8' 3.50''	209.2	6' 6.50''
Michael Foster Jr.	C	6.20%	8.75	10.00	6' 7.75''	6' 9.25''	9' 1.50''	236.6	7' 0.25''
Malaki Branham	SG	6.10%	8.50	9.75	6' 4.00''	6' 5.50''	8' 6.50''	194.8	6' 10.00''
Dominick Barlow	PF	5.90%	9.00	10.50	6' 8.75''	6' 9.75''	9' 0.50''	221.0	7' 3.00''
Tari Eason	PF	5.90%	9.25	11.00	6' 6.75''	6' 8.00''	8' 11.50''	217.4	7' 2.00''
Christian Koloko	C	5.70%	9.00	10.75	6' 10.75''	7' 0.00''	9' 5.00''	221.0	7' 5.25''
Bennedict Mathurin	SG	5.70%	8.50	9.75	6' 4.50''	6' 6.00''	8' 8.00''	204.6	6' 9.00''
Leonard Miller	SF	5.70%	9.25	10.50	6' 8.50''	6' 10.00''	8' 10.50''	211.0	7' 2.00''
Blake Wesley	SG	5.60%	8.25	9.00	6' 3.00''	6' 4.25''	8' 7.00''	187.2	6' 9.25''
Ochai Agbaji	SG	5.40%	8.75	9.50	6' 4.50''	6' 5.75''	8' 8.00''	216.8	6' 10.25''
Bryce McGowens	SG	5.40%	8.75	9.50	6' 5.25''	6' 6.50''	8' 7.50''	181.2	6' 8.75''
Dalen Terry	SG	5.40%	8.50	9.00	6' 6.00''	6' 7.25''	8' 10.00''	195.2	7' 0.75''
Mark Williams	C	5.40%	9.00	9.75	7' 0.00''	7' 2.00''	9' 9.00''	242.4	7' 6.50''
MarJon Beauchamp	SG	5.30%	9.00	9.00	6' 5.25''	6' 6.50''	8' 10.00''	196.6	7' 0.75''
Scotty Pippen Jr.	PG	5.30%	7.75	9.00	6' 0.00''	6' 1.50''	7' 11.50''	180.0	6' 5.75''
Peyton Watson	SF	5.20%	8.50	9.50	6' 6.75''	6' 8.00''	8' 11.50''	203.4	7' 0.50''
Aminu Mohammed	SG-SF	5.10%	8.75	9.50	6' 3.50''	6' 5.00''	8' 8.00''	212.8	6' 11.00''
Ryan Rollins	SG	5.00%	8.00	8.50	6' 2.00''	6' 3.25''	8' 4.50''	179.2	6' 9.75''
Kendall Brown	SF	4.90%	9.00	9.00	6' 6.25''	6' 7.50''	8' 7.00''	201.2	6' 11.00''
Dyson Daniels	SG	4.90%	8.50	9.75	6' 6.00''	6' 7.50''	8' 9.00''	195.2	6' 10.50''
Max Christie	SG	4.80%	8.00	8.50	6' 4.25''	6' 5.75''	8' 6.50''	189.2	6' 8.75''
Iverson Molinar	PG	4.80%	8.50	9.50	6' 2.25''	6' 3.25''	8' 5.00''	183.2	6' 8.00''
Shaedon Sharpe	SG	4.80%	9.00	9.25	6' 4.25''	6' 5.25''	8' 7.50''	198.0	6' 11.50''
John Butler Jr.	PF	4.70%	8.50	8.75	6' 11.75''	7' 0.75''	9' 4.00''	174.4	7' 2.25''
Kennedy Chandler	PG	4.40%	8.50	9.50	5' 11.50''	6' 0.50''	8' 1.00''	172.2	6' 5.25''
Andrew Nembhard	PG	4.40%	8.00	9.50	6' 3.00''	6' 4.50''	8' 3.00''	195.6	6' 5.75''
Dereon Seabron	SG	4.00%	8.50	9.50	6' 4.75''	6' 5.75''	8' 7.50''	182.4	6' 8.75''
Keon Ellis	SG	3.80%	8.00	9.25	6' 3.50''	6' 4.75''	8' 6.00''	167.4	6' 8.50''
Gabriele Procida	SG-SF	3.80%	8.00	9.25	6' 5.75''	6' 7.75''	8' 10.00''	192.8	6' 8.00''
Terquavion Smith	SG	3.80%	8.50	8.00	6' 2.25''	6' 3.75''	8' 2.00''	165.2	6' 6.50''
Moussa Diabate	C	2.70%	8.50	10.50	6' 9.25''	6' 10.25''	9' 1.50''	216.6	7' 2.50''
Paolo Banchero	PF	-%	-	-				-	
Darius Days	SF-PF	-%	-	-				-	
Ousmane Dieng	SF	-%	-	-				-	
Khalifa Diop	C	-%	-	-				-	
Jalen Duren	C	-%	-	-				-	
AJ Griffin	SF	-%	-	-				-	
Jaden Hardy	SG	-%	-	-				-	
Chet Holmgren	PF	-%	-	-				-	
Jaden Ivey	PG	-%	-	-				-	
Trayce Jackson-Davis	C	-%	-	-				-	
Ismael Kamagate	PF	-%	-	-				-	
Kenneth Lofton Jr.	PF-C	-%	-	-				-	
Tyrese Martin	SG-SF	-%	-	-				-	
Josh Minnott	PF	-%	-	-				-	
Keegan Murray	PF	-%	-	-				-	
Jared Rhoden	SG-SF	-%	-	-				-	
Marcus Sasser	PG	-%	-	-				-	
Jabari Smith	PF	-%	-	-				-	
Jeremy Sochan	PF	-%	-	-				-	
Bryson Williams	PF-C	-%	-	-				-	
Jalen Wilson	SF-PF	-%	-	-				-	
Fanbo Zeng	SF-PF	-%	-	-				-	
