PLAYER	POS	BODY FAT %	HAND LENGTH (inches)	HAND WIDTH (inches)	HEIGHT W/O SHOES	HEIGHT W/ SHOES	STANDING REACH	WEIGHT (LBS)	WINGSPAN
Greg Stevenson	SF	7.30%	-	-	6' 3.75''		8' 6''	215.0	7' 0.5''
Gyasi Cline-Heard	PF	8.00%	-	-	6' 6.25''		8' 7''	231.0	6' 11.5''
Horace Jenkins	PG	6.00%	-	-	5' 11.75''		8' 1''	171.0	6' 5.25''
Jamaal Tinsley	PG	13.60%	-	-	6' 0.75''		8' 1.5''	199.0	6' 7.5''
Jamario Moon	SF	5.30%	-	-	6' 6.5''		8' 7''	185.0	6' 11.5''
Jamison Brewer	PG	6.70%	-	-	6' 2.5''		8' 6.5''	178.0	6' 8.75''
Jarron Collins	C-PF	15.20%	-	-	6' 9.25''		8' 8''	252.0	7' 3''
Jason Collins	PF-C	12.90%	-	-	6' 10.25''		9' 2''	251.0	7' 4.5''
Jason Gardner	PG	8.00%	-	-	5' 9.75''		7' 8.5''	188.0	6' 1.25''
Jason Richardson	SF-SG	5.30%	-	-	6' 4.75''		8' 6.5''	213.0	6' 11.5''
Jerry Green	PG-SG	5.50%	-	-	6' 1.5''		8' 3''	179.0	6' 6.25''
Jeryl Sasser	PG-SG	6.70%	-	-	6' 5.5''		8' 7.5''	194.0	6' 10.5''
Joe Johnson	SF-SG	6.70%	-	-	6' 6.75''		8' 9''	226.0	6' 9''
Joseph Forte	SG	-%	-	-	6' 3.5''		8' 4.5''	193.0	6' 6.5''
Ken Johnson	C	9.90%	-	-	6' 10.75''		9' 1.5''	227.0	7' 4''
Kenny Gregory	SF	6.70%	-	-	6' 3.5''		8' 5''	200.0	6' 11.25''
Kenny Satterfield	PG	6.70%	-	-	6' 1''		8' 2''	176.0	6' 4.5''
Kimani Ffriend	C-PF	11.70%	-	-	6' 9.5''		9' 0.5''	228.0	6' 10.75''
Kirk Haston	PF-SF	10.50%	-	-	6' 8''		8' 10''	242.0	7' 0.25''
Kwame Brown	PF-C	8.90%	-	-	6' 10''		9' 0''	243.0	7' 1''
Lazaros Papadopoulos	C-PF	11.70%	-	-	6' 10.25''		9' 2.5''	227.0	7' 2.5''
Lee Scruggs	PF-SF	10.50%	-	-	6' 10.25''		9' 2.5''	209.0	7' 5.75''
Loren Woods	C-PF	9.30%	-	-	7' 0.75''		9' 5''	246.0	7' 5.5''
Martin Rancik	PF-SF	8.00%	-	-	6' 8.75''		8' 6.5''	230.0	6' 8''
Maurice Evans	SG	4.00%	-	-	6' 4.25''		8' 5''	221.0	6' 8''
Michael Bradley	PF	9.30%	-	-	6' 9.5''		8' 11''	227.0	7' 1.5''
Michael Hicks	SG	7.30%	-	-	6' 4''		8' 4.5''	197.0	6' 9.25''
Michael Wright	PF	9.30%	-	-	6' 7''		8' 10.5''	247.0	6' 11.5''
Mike Mardesich	C-PF	13.60%	-	-	6' 10.25''		9' 0.5''	247.0	7' 0.5''
Nate James	SF	6.00%	-	-	6' 4.75''		8' 7''	196.0	6' 10.75''
Norman Richardson	SG	6.00%	-	-	6' 3.5''		8' 3''	180.0	6' 4.5''
Omar Cook	PG	5.50%	-	-	5' 11.5''		7' 8''	189.0	6' 5.5''
Rashad Phillips	PG	12.40%	-	-	5' 9''		7' 8''	166.0	6' 1.5''
Richard Jefferson	SF	6.70%	-	-	6' 7.25''		8' 7''	223.0	7' 0''
Robb Dryden	C	8.00%	-	-	7' 1''		9' 2.25''	241.0	7' 2.5''
Rodney White	SF	9.30%	-	-	6' 7.5''		8' 8.5''	243.0	6' 11.5''
Ruben Boumtje-Boumtje	C	6.00%	-	-	6' 11.5''		9' 3''	245.0	7' 4''
Ryan Carroll	SF-SG	8.00%	-	-	6' 4''		8' 3''	202.0	6' 8.25''
Sam Clancy	PF	8.00%	-	-	6' 6.25''		8' 11''	242.0	7' 2.75''
Sean Lampley	SF	8.00%	-	-	6' 5.5''		8' 5''	213.0	6' 9.25''
Shane Battier	SF-PF	9.30%	-	-	6' 8.25''		8' 9''	229.0	6' 10.5''
SirValiant Brown	PG	6.70%	-	-	5' 11''		7' 8.5''	176.0	6' 4''
Souleymane Wane	C	11.20%	-	-	6' 8.5''		9' 1''	235.0	7' 5''
Steven Hunter	C-PF	5.30%	-	-	6' 10.25''		9' 0''	224.0	7' 4''
Tate Decker	SF	13.60%	-	-	6' 9.25''		8' 11''	218.0	6' 11.75''
Tory Walker	SF	6.70%	-	-	6' 6.75''		8' 8.5''	187.0	6' 11.25''
Trenton Hassell	SG-SF	5.30%	-	-	6' 4.25''		8' 3.5''	205.0	6' 8''
Troy Murphy	PF	11.70%	-	-	6' 9.75''		8' 9.5''	230.0	6' 11''
Troy Ostler	PF-SF	8.00%	-	-	6' 8.75''		8' 10.5''	200.0	7' 1.5''
Tyson Chandler	SF-PF	6.70%	-	-	6' 11.5''		9' 2''	224.0	7' 3''
Will Solomon	PG-SG	4.00%	-	-	5' 11.75''		8' 3.5''	172.0	6' 9.5''
Zach Marbury	PG-SG	6.70%	-	-	6' 1.25''		8' 0.5''	183.0	6' 3.5''
