Name,Class,HP,Str,Mag,Skl,Spd,Lck,Def,Res,Total
Roger,Knight/General,80,60,0,50,40,70,55,0,355.0
Ogma,Mercenary/Hero,100,60,0,55,50,60,25,5,355.0
Warren,Pirate/Berserker,110,70,0,60,45,40,25,0,350.0
Sedgar,Sage/Bishop,70,25,25,70,65,40,25,30,350.0
Vyland,Sniper,80,55,0,40,80,50,45,0,350.0
Nabarl,Myrmidon/Swordmaster,90,45,0,50,70,70,20,5,350.0
Dolph,Warrior,100,85,0,65,30,40,30,0,350.0
Robert,Dracoknight,70,50,0,70,65,50,25,20,350.0
Macellan,Sage/Bishop,60,45,25,50,60,50,25,35,350.0
Sedgar,Sorcerer,70,25,25,70,65,40,25,30,350.0
Ryan,Knight/General,100,55,0,80,20,40,55,0,350.0
Ryan,Mercenary/Hero,90,60,0,85,40,40,35,0,350.0
Nabarl,Archer/Sniper,90,45,0,50,70,70,25,0,350.0
Abel,Sorcerer,60,45,25,50,60,50,25,35,350.0
Nabarl,Cavalier/Paladin,90,50,0,55,50,70,30,5,350.0
Tomas,Sage/Bishop,70,40,20,70,60,50,5,35,350.0
Cain,Mage,70,15,30,65,75,70,5,20,350.0
Merric,Myrmidon/Swordmaster,90,10,0,65,80,70,35,0,350.0
Cain,Sage/Bishop,70,10,20,65,80,70,5,30,350.0
Radd,Pirate/Berserker,110,70,0,40,65,50,15,0,350.0
Luke,Knight/General,110,60,0,45,40,40,55,0,350.0
Cain,DarkMage/Sorcerer,70,10,20,65,80,70,5,30,350.0
Merric,Cavalier/Paladin,90,15,0,70,60,70,45,0,350.0
Etzel,Hero,110,20,0,65,50,40,55,10,350.0
Tomas,Sorcerer,70,40,20,70,60,50,5,35,350.0
Linde,Myrmidon/Swordmaster,60,20,0,80,85,80,25,0,350.0
Luke,Mercenary/Hero,100,65,0,50,60,40,35,0,350.0
Linde,Cavalier/Paladin,60,25,0,85,65,80,35,0,350.0
Merric,Hunter/Horseman,90,20,0,60,75,70,35,0,350.0
Cain,Curate,70,10,10,60,80,70,10,40,350.0
Robert,Horseman,80,60,0,65,65,50,20,5,345.0
Minerva,Sniper,90,50,0,60,55,60,30,0,345.0
Merric,Curate,70,0,20,60,70,70,20,35,345.0
Merric,Sage/Bishop,70,0,30,65,70,70,15,25,345.0
Merric,Dracoknight,80,10,0,65,75,70,40,5,345.0
Barst,Fighter/Warrior,100,70,0,60,40,50,25,0,345.0
Nabarl,Dracoknight,80,45,0,50,65,70,25,10,345.0
Linde,Peg/Falco/DracoKnight,50,20,0,80,80,80,30,5,345.0
Vyland,	Paladin,80,60,0,45,60,50,50,0,345.0
Athena,Cavalier/Paladin,75,45,0,65,50,65,35,10,345.0
Midia,General,110,40,0,55,50,20,60,10,345.0
Roshea,Sorcerer,75,20,20,55,60,70,10,35,345.0
Vyland,Horseman,80,65,0,35,75,50,40,0,345.0
Merric,DarkMage/Sorcerer,70,0,30,65,70,70,15,25,345.0
Etzel,Swordmaster,100,10,10,60,60,40,50,15,345.0
Etzel,Sniper,100,10,10,60,60,40,55,10,345.0
Etzel,	Paladin,100,15,10,65,40,40,60,15,345.0
MyUnit,Fighter/Warrior,100,65,0,55,40,60,25,0,345.0
Ymir,Warrior,90,90,0,45,50,35,35,0,345.0
Radd,Hunter/Horseman,90,55,0,45,65,70,20,0,345.0
Vyland,Swordmaster,80,55,0,40,80,50,40,0,345.0
Roshea,Sage/Bishop,75,20,20,55,60,70,10,35,345.0
Dolph,Berserker,100,75,0,55,50,40,25,0,345.0
Athena,Myrmidon/Swordmaster,75,40,0,60,70,65,25,10,345.0
Athena,Archer/Sniper,75,40,0,60,70,65,30,5,345.0
Cecil,Peg/Falco/DracoKnight,60,40,5,65,90,50,25,10,345.0
Frey,DarkMage/Sorcerer,70,15,25,60,75,55,10,30,340.0
Leiden,Fighter/Warrior,100,75,0,65,50,40,10,0,340.0
Michalis,	Paladin,100,65,0,65,40,20,45,5,340.0
Ymir,Berserker,90,80,0,35,70,35,30,0,340.0
Michalis,Sniper,100,60,0,60,60,20,40,0,340.0
Frey,Curate,70,15,15,55,75,55,15,40,340.0
Michalis,Swordmaster,100,60,0,60,60,20,35,5,340.0
MyUnit,Pirate/Berserker,100,55,0,45,60,60,20,0,340.0
Etzel,Sage/Bishop,80,0,40,60,50,40,30,40,340.0
Belf,Fighter/Warrior,110,80,0,55,40,40,15,0,340.0
Minerva,Paladin,90,55,0,65,35,60,35,0,340.0
Ellerean,Fighter/Warrior,130,40,0,55,40,30,45,0,340.0
Minerva,Swordmaster,90,50,0,60,55,60,25,0,340.0
Beck,	General,100,45,5,60,40,30,60,0,340.0
Roger,Myrmidon/Swordmaster,60,55,0,50,70,70,30,5,340.0
Etzel,Sorcerer,80,0,40,60,50,40,30,40,340.0
Roger,Archer/Sniper,60,55,0,50,70,70,35,0,340.0
Roger,Cavalier/Paladin,60,60,0,55,50,70,40,5,340.0
Merric,Mage,70,0,40,65,65,70,15,15,340.0
Vyland,Dracoknight,70,55,0,40,75,50,45,5,340.0
Frey,Mage,70,20,35,60,70,55,10,20,340.0
Draug,Fighter/Warrior,90,65,0,55,60,40,30,0,340.0
Frey,Sage/Bishop,70,15,25,60,75,55,10,30,340.0
Athena,Peg/Falco/DracoKnight,65,40,0,60,65,65,30,15,340.0
Ogma,Myrmidon/Swordmaster,90,50,0,50,60,60,20,10,340.0
Ogma,Archer/Sniper,90,50,0,50,60,60,25,5,340.0
Ogma,Cavalier/Paladin,90,55,0,55,40,60,30,10,340.0
Barst,Pirate/Berserker,100,60,0,50,60,50,20,0,340.0
Roger,Hunter/Horseman,60,65,0,45,65,70,30,0,335.0
Minerva,	Dracoknight,80,50,0,60,50,60,30,5,335.0
Ogma,Dracoknight,80,50,0,50,55,60,25,15,335.0
Belf,Pirate/Berserker,110,70,0,45,60,40,10,0,335.0
Luke,Myrmidon/Swordmaster,90,55,0,45,70,40,30,5,335.0
Astram,Hero,100,60,0,50,40,60,25,0,335.0
Astram,	General,110,55,0,45,20,60,45,0,335.0
Abel,Sage/Bishop,80,30,20,55,70,40,10,30,335.0
Leiden,Pirate/Berserker,100,65,0,55,70,40,5,0,335.0
Beck,Hero,90,50,0,65,60,30,40,0,335.0
Samson,Warrior,110,70,0,35,20,70,30,0,335.0
Horace,Hero,90,60,0,50,50,35,50,0,335.0
Luke,Cavalier/Paladin,90,60,0,50,50,40,40,5,335.0
Horace,	General,100,55,0,45,30,35,70,0,335.0
Linde,Cleric,40,0,20,75,75,80,10,35,335.0
Linde,Sage/Bishop,40,0,30,80,75,80,5,25,335.0
Abel,Sorcerer,80,30,20,55,70,40,10,30,335.0
Etzel,Dracoknight,90,10,5,60,55,40,55,20,335.0
Luke,Archer/Sniper,90,55,0,45,70,40,35,0,335.0
Ryan,Archer/Sniper,80,50,0,80,50,40,35,0,335.0
Ellerean,Pirate/Berserker,130,30,0,45,60,30,40,0,335.0
Draug,Pirate/Berserker,90,55,0,45,80,40,25,0,335.0
Michalis,Dracoknight,90,60,0,60,55,20,40,10,335.0
Roger,Dracoknight,50,55,0,50,65,70,35,10,335.0
Ryan,Cavalier/Paladin,80,55,0,85,30,40,40,5,335.0
Cecil,Cleric,50,15,30,60,85,50,5,40,335.0
Ryan,Myrmidon/Swordmaster,80,50,0,80,50,40,30,5,335.0
Michalis,Horseman,100,70,0,55,55,20,35,0,335.0
Cecil,Sage/Bishop,50,15,40,65,85,50,0,30,335.0
Cecil,Mage,50,20,50,65,80,50,0,20,335.0
Jeorge,Warrior,110,70,0,40,25,50,35,0,330.0
Midia,Sniper,90,35,0,55,80,20,40,10,330.0
Rody,DarkMage/Sorcerer,60,20,20,55,75,60,10,30,330.0
Linde,Mage,40,0,40,80,70,80,5,15,330.0
Radd,Mercenary/Hero,90,60,0,50,55,50,25,0,330.0
Etzel,Horseman,100,20,5,55,55,40,50,5,330.0
Radd,Knight/General,100,55,0,45,35,50,45,0,330.0
Luke,Hunter/Horseman,90,65,0,40,65,40,30,0,330.0
Midia,Swordmaster,90,35,0,55,80,20,35,15,330.0
Samson,Berserker,110,60,0,25,40,70,25,0,330.0
Darros,Warrior,100,75,0,50,30,40,35,0,330.0
Warren,Mercenary/Hero,90,60,0,70,35,40,35,0,330.0
Warren,Knight/General,100,55,0,65,15,40,55,0,330.0
Rody,Mage,60,25,30,55,70,60,10,20,330.0
Midia,Paladin,90,40,0,60,60,20,45,15,330.0
Rody,Curate,60,20,10,50,75,60,15,40,330.0
Palla,General,100,65,0,90,5,20,50,0,330.0
Beck,Sniper,80,40,10,60,70,30,40,0,330.0
Ryan,Dracoknight,70,50,0,80,45,40,35,10,330.0
Ryan,Hunter/Horseman,80,60,0,75,45,40,30,0,330.0
Rody,Sage/Bishop,60,20,20,55,75,60,10,30,330.0
Ogma,Hunter/Horseman,90,60,0,45,55,60,20,0,330.0
Luke,Dracoknight,80,55,0,45,65,40,35,10,330.0
Robert,Sage/Bishop,60,25,20,70,60,50,0,40,325.0
Matthis,Fighter/Warrior,130,75,0,40,30,30,20,0,325.0
Beck,Swordmaster,80,40,10,60,70,30,35,0,325.0
Beck,	Paladin,80,45,10,65,50,30,45,0,325.0
Darros,Berserker,100,65,0,40,50,40,30,0,325.0
Dolph,Hero,80,65,0,65,40,40,35,0,325.0
Dolph,	General,90,60,0,60,20,40,55,0,325.0
Robert,Sorcerer,60,25,20,70,60,50,0,40,325.0
Jeorge,Berserker,110,60,0,30,45,50,30,0,325.0
Bord,Fighter/Warrior,100,65,0,65,30,45,20,0,325.0
Midia,	Dracoknight,80,35,0,55,75,20,40,20,325.0
Ymir,Hero,70,70,0,45,60,35,40,0,320.0
Horace,Swordmaster,80,50,0,45,60,35,45,5,320.0
Ymir,	General,80,65,0,40,40,35,60,0,320.0
MyUnit,Mercenary/Hero,80,45,0,55,50,60,30,0,320.0
Bord,Pirate/Berserker,100,55,0,55,50,45,15,0,320.0
Radd,DarkMage/Sorcerer,70,20,20,50,60,70,0,30,320.0
Barst,Knight/General,90,45,0,55,30,50,50,0,320.0
Barst,Mercenary/Hero,80,50,0,60,50,50,30,0,320.0
MyUnit,Knight/General,90,40,0,50,30,60,50,0,320.0
Beck,Horseman,80,50,5,55,65,30,35,0,320.0
Horace,	Paladin,80,55,0,50,40,35,55,5,320.0
Caesar,Fighter/Warrior,110,70,0,45,45,30,20,0,320.0
Athena,Mage,55,20,35,60,55,65,5,25,320.0
Matthis,Pirate/Berserker,130,65,0,30,50,30,15,0,320.0
Athena,Cleric,55,15,15,55,60,65,10,45,320.0
Astram,Sniper,90,50,0,45,50,60,25,0,320.0
Horace,Sniper,80,50,0,45,60,35,50,0,320.0
Yubello,Fighter/Warrior,100,40,0,45,45,50,40,0,320.0
Cord,Fighter/Warrior,100,60,0,40,50,50,20,0,320.0
Nabarl,Curate,70,20,10,45,60,70,5,40,320.0
Nabarl,Sage/Bishop,70,20,20,50,60,70,0,30,320.0
Nabarl,Mage,70,25,30,50,55,70,0,20,320.0
Athena,Sage/Bishop,55,15,25,60,60,65,5,35,320.0
Belf,Knight/General,100,55,0,50,30,40,40,0,315.0
Belf,Mercenary/Hero,90,60,0,55,50,40,20,0,315.0
Horace,Dracoknight,70,50,0,45,55,35,50,10,315.0
Caesar,Pirate/Berserker,110,60,0,35,65,30,15,0,315.0
Vyland,Sorcerer,60,30,20,40,70,50,20,25,315.0
Leiden,Knight/General,90,50,0,60,40,40,35,0,315.0
Astram,Swordmaster,90,50,0,45,50,60,20,0,315.0
Horace,Horseman,80,60,0,40,55,35,45,0,315.0
Draug,Mercenary/Hero,70,45,0,55,70,40,35,0,315.0
Draug,Knight/General,80,40,0,50,50,40,55,0,315.0
Astram,	Paladin,90,55,0,50,30,60,30,0,315.0
Vyland,Sage/Bishop,60,30,20,40,70,50,20,25,315.0
Leiden,Mercenary/Hero,80,55,0,65,60,40,15,0,315.0
Yubello,Pirate/Berserker,100,30,0,35,65,50,35,0,315.0
Palla,Archer/Sniper,80,60,0,90,35,20,30,0,315.0
Warren,Cavalier/Paladin,80,55,0,70,25,40,40,5,315.0
Palla,Cavalier/Paladin,80,65,0,95,15,20,35,5,315.0
Frost,Warrior,120,55,0,55,40,20,25,0,315.0
Norne,General,90,40,0,50,35,50,50,0,315.0
Radd,Myrmidon/Swordmaster,80,50,0,45,65,50,20,5,315.0
Radd,Archer/Sniper,80,50,0,45,65,50,25,0,315.0
Cord,Pirate/Berserker,100,50,0,30,70,50,15,0,315.0
Beck,Dracoknight,70,40,5,60,65,30,40,5,315.0
Radd,Cavalier/Paladin,80,55,0,50,45,50,30,5,315.0
Warren,Archer/Sniper,80,50,0,65,45,40,35,0,315.0
Ellerean,Knight/General,120,15,0,50,30,30,70,0,315.0
Astram,Horseman,90,60,0,40,45,60,20,0,315.0
Warren,Myrmidon/Swordmaster,80,50,0,65,45,40,30,5,315.0
Ellerean,Mercenary/Hero,110,20,0,55,50,30,50,0,315.0
Palla,Myrmidon/Swordmaster,80,60,0,90,35,20,25,5,315.0
Dolph,Sniper,70,55,0,60,50,40,35,0,310.0
MyUnit,Archer/Sniper,70,35,5,50,60,60,30,0,310.0
Ogma,Curate,70,25,10,45,50,60,5,45,310.0
MyUnit,Myrmidon/Swordmaster,70,35,5,50,60,60,25,5,310.0
Samson,	General,100,45,0,30,10,70,55,0,310.0
Palla,Peg/Falco/DracoKnight,70,60,0,90,30,20,30,10,310.0
Warren,Hunter/Horseman,80,60,0,60,40,40,30,0,310.0
Ogma,Sage/Bishop,70,25,20,50,50,60,0,35,310.0
Ogma,Mage,70,30,30,50,45,60,0,25,310.0
Ogma,DarkMage/Sorcerer,70,25,20,50,50,60,0,35,310.0
Samson,Hero,90,50,0,35,30,70,35,0,310.0
Astram,Dracoknight,80,50,0,45,45,60,25,5,310.0
Michalis,Sage/Bishop,80,35,20,60,50,20,15,30,310.0
Warren,Dracoknight,70,50,0,65,40,40,35,10,310.0
MyUnit,Cavalier/Paladin,70,40,5,55,40,60,35,5,310.0
Roger,Curate,40,30,10,45,60,70,15,40,310.0
Roger,Sage/Bishop,40,30,20,50,60,70,10,30,310.0
Roger,DarkMage/Sorcerer,40,30,20,50,60,70,10,30,310.0
Roger,Mage,40,35,30,50,55,70,10,20,310.0
Frost,Berserker,120,45,0,45,60,20,20,0,310.0
Minerva,Sage/Bishop,70,25,20,60,45,60,5,25,310.0
Gordin,Fighter/Warrior,100,70,0,45,20,50,25,0,310.0
Castor,Fighter/Warrior,100,70,0,60,35,30,15,0,310.0
Radd,Hunter/Horseman,80,60,0,40,60,50,20,0,310.0
Radd,Dracoknight,70,50,0,45,60,50,25,10,310.0
Michalis,Sorcerer,80,35,20,60,50,20,15,30,310.0
Maris,General,90,45,0,60,30,50,30,5,310.0
Luke,DarkMage/Sorcerer,70,30,20,45,60,40,10,30,305.0
Beck,Sorcerer,60,15,40,60,60,30,15,25,305.0
Ryan,DarkMage/Sorcerer,60,25,20,80,40,40,10,30,305.0
Ryan,Mage,60,30,30,80,35,40,10,20,305.0
Luke,Curate,70,30,10,40,60,40,15,40,305.0
Ryan,Sage/Bishop,60,25,20,80,40,40,10,30,305.0
Dolph,	Paladin,70,60,0,65,30,40,40,0,305.0
Beck,Sage/Bishop,60,15,40,60,60,30,15,25,305.0
